Part Lister output for Daedalus_Digital_Board
Generated on Friday, May 06, 2022
	#   	QTY 	Part Number     	Description                               	Value	Ref Designator 	
---------------------------------------------------------------------------------------------
	 1  	 54 	0402 Capacitor  	                                          	4.7uF	C1-C7,C14-C47, 	
	    	    	                	                                          	 6V3 	C51,C53,C60,   	
	    	    	                	                                          	X5R  	C62,C63,C65,   	
	    	    	                	                                          	     	C73,C75,       	
	    	    	                	                                          	     	C77-C80,C354   	
	 2  	 9  	0402 Capacitor  	                                          	470nF	C8-C13,C50,C59,	
	    	    	                	                                          	 10V 	C74            	
	    	    	                	                                          	X5R  	               	
	 3  	 12 	0402 Capacitor  	                                          	DNF  	C48,C55-C58,   	
	    	    	                	                                          	     	C61,C66-C71    	
	 4  	 6  	0402 Capacitor  	                                          	220nF	C49,C52,C54,   	
	    	    	                	                                          	 6V3 	C64,C72,C76    	
	    	    	                	                                          	X6S  	               	
	 5  	 14 	0402 Capacitor  	                                          	100nF	C81-C86,C89,   	
	    	    	                	                                          	 16V 	C90,C139-C142, 	
	    	    	                	                                          	     	C357,C358      	
	 6  	 40 	GRM155R71H103KA8	                                          	0.01u	C87,C88,       	
	    	    	8D              	                                          	F    	C273-C310      	
	 7  	 34 	0402 Capacitor  	                                          	100nF	C91,C92,C97,   	
	    	    	                	                                          	     	C101,C103,C104,	
	    	    	                	                                          	     	C115-C123,     	
	    	    	                	                                          	     	C128-C133,C329,	
	    	    	                	                                          	     	C331,C333,C335,	
	    	    	                	                                          	     	C337,C339,C341,	
	    	    	                	                                          	     	C343-C348      	
	 8  	 2  	0402 Capacitor  	                                          	47pF 	C93,C99        	
	 9  	 2  	0402 Capacitor  	                                          	560pF	C94,C100       	
	 10 	 2  	0402 Capacitor  	                                          	1uF  	C95,C96        	
	 11 	 2  	0402 Capacitor  	                                          	22pF 	C98,C102       	
	 12 	 27 	0402 Capacitor  	                                          	10nF 	C105-C112,     	
	    	    	                	                                          	     	C124-C127,     	
	    	    	                	                                          	     	C134-C137,C313,	
	    	    	                	                                          	     	C330,C332,C334,	
	    	    	                	                                          	     	C336,C338,C340,	
	    	    	                	                                          	     	C342,C349-C351 	
	 13 	 1  	0402 Capacitor  	                                          	470nF	C113           	
	 14 	 1  	0402 Capacitor  	                                          	1nF  	C114           	
	 15 	 1  	0402 Capacitor  	                                          	100nF	C138           	
	    	    	                	                                          	 25V 	               	
	 16 	 32 	1206 Capacitor  	                                          	100uF	C143-C174      	
	    	    	                	                                          	 4V X	               	
	    	    	                	                                          	6S   	               	
	 17 	 11 	1206 Capacitor  	                                          	10uF 	C175,C176,C179,	
	    	    	                	                                          	25V  	C182,C185-C189,	
	    	    	                	                                          	     	C355,C356      	
	 18 	 6  	1206 Capacitor  	                                          	47uF 	C177,C178,C180,	
	    	    	                	                                          	6V3  	C181,C183,C184 	
	 19 	 54 	GRM155R71C104JA8	                                          	0.1uF	C190,C192-C197,	
	    	    	8D              	                                          	     	C199-C201,C203,	
	    	    	                	                                          	     	C205-C210,     	
	    	    	                	                                          	     	C212-C214,C217,	
	    	    	                	                                          	     	C219,C221,C222,	
	    	    	                	                                          	     	C224-C241,     	
	    	    	                	                                          	     	C314-C324,C352 	
	 20 	 14 	GRJ155R60J106ME1	                                          	10uF 	C191,C198,C202,	
	    	    	1D              	                                          	     	C204,C211,C215,	
	    	    	                	                                          	     	C216,C218,C220,	
	    	    	                	                                          	     	C223,C325-C328 	
	 21 	 8  	Case D Tantalum 	                                          	470uF	C242-C249      	
	    	    	                	                                          	 2V  	               	
	 22 	 5  	1210 Capacitor  	                                          	100uF	C250-C254      	
	    	    	                	                                          	 6V3 	               	
	    	    	                	                                          	X6S  	               	
	 23 	 2  	1210 Capacitor  	                                          	47uF 	C255,C256      	
	    	    	                	                                          	6V3 X	               	
	    	    	                	                                          	6S   	               	
	 24 	 4  	0603 Capacitor  	                                          	4u7 1	C257,C258,C359,	
	    	    	                	                                          	0V   	C360           	
	 25 	 14 	0603 Capacitor  	                                          	4.7uF	C259-C272      	
	    	    	                	                                          	 6V3 	               	
	 26 	 2  	0805 Capacitor  	                                          	1uF 1	C311,C312      	
	    	    	                	                                          	6V   	               	
	 27 	 1  	GCM1555C1H101JA1	                                          	100pF	C353           	
	    	    	6D              	                                          	     	               	
	 28 	 3  	SSB43LHE3       	                                          	     	D1-D3          	
	 29 	 1  	RFN20NS6STL     	                                          	     	D4             	
	 30 	 1  	1N4148W T4      	                                          	     	D5             	
	 31 	 1  	DDZ9678         	                                          	     	D6             	
	 32 	 2  	SP0503BAHTG     	                                          	     	D7,D13         	
	 33 	 4  	BZT52HC3V3WF-7  	                                          	     	D9-D12         	
	 34 	 1  	LTST-C191KRKT   	                                          	     	DS1            	
	 35 	 11 	APHB1608CGKSURKC	                                          	     	DS2-DS11,DS13  	
	 36 	 1  	LTST-C191KGKT   	                                          	     	DS12           	
	 37 	 1  	SF-1206HH15M-2  	                                          	     	F1             	
	 38 	 1  	Molex_22-11-2032	                                          	     	J1             	
